FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220216;1500;12;;;
220216;1600;15;;;
220216;1700;11;;;
220216;1800;12;;;
220216;1900;13;;;
220216;2000;15;;;
220216;2100;16;;;
220216;2200;18;;;
220216;2300;16;;;
220217;0000;12;;;
220217;0100;15;;;
220217;0200;17;;;
220217;0300;16;;;
220217;0400;18;;;
220217;0500;22;;;
220217;0600;31;;;
220217;0700;31;;;
220217;0800;26;;;
220217;0900;21;;;
220217;1000;24;;;
220217;1100;18;;;
220217;1200;14;;;
220217;1300;10;;;
220217;1400;12;;;
220217;1500;14;;;
220217;1600;16;;;
220217;1700;14;;;
220217;1800;11;;;
220217;1900;16;;;
220217;2000;15;;;
220217;2100;19;;;
220217;2200;21;;;
220217;2300;25;;;
220218;0000;23;;;
220218;0100;26;;;
220218;0200;26;;;
220218;0300;26;;;
220218;0400;21;;;
220218;0500;27;;;
220218;0600;39;;;
220218;0700;45;;;
220218;0800;34;;;
220218;0900;25;;;
220218;1000;26;;;
220218;1100;26;;;
220218;1200;19;;;
220218;1300;17;;;
220218;1400;16;;;
220218;1500;14;;;
220218;1600;20;;;
220218;1700;22;;;
220218;1800;29;;;
220218;1900;28;;;
220218;2000;24;;;
220218;2100;16;;;
220218;2200;15;;;
220218;2300;13;;;
220219;0000;16;;;
220219;0100;13;;;
220219;0200;13;;;
220219;0300;14;;;
220219;0400;14;;;
220219;0500;11;;;
220219;0600;19;;;
220219;0700;19;;;
220219;0800;22;;;
220219;0900;21;;;
220219;1000;20;;;
220219;1100;20;;;
220219;1200;18;;;
220219;1300;14;;;
220219;1400;10;;;
220219;1500;7;;;
220219;1600;9;;;
220219;1700;10;;;
220219;1800;14;;;
220219;1900;18;;;
220219;2000;16;;;
220219;2100;17;;;
220219;2200;16;;;
220219;2300;18;;;
220220;0000;10;;;
220220;0100;12;;;
220220;0200;9;;;
220220;0300;7;;;
220220;0400;7;;;
220220;0500;6;;;
220220;0600;6;;;
220220;0700;13;;;
220220;0800;13;;;
220220;0900;14;;;
220220;1000;12;;;
220220;1100;11;;;
220220;1200;7;;;
220220;1300;10;;;
220220;1400;9;;;
220220;1500;10;;;
220220;1600;8;;;
220220;1700;7;;;
220220;1800;8;;;
220220;1900;8;;;
220220;2000;12;;;
220220;2100;10;;;
220220;2200;9;;;
220220;2300;5;;;
220221;0000;5;;;
220221;0100;9;;;
220221;0200;7;;;
220221;0300;9;;;
220221;0400;9;;;
220221;0500;7;;;
220221;0600;13;;;
220221;0700;13;;;
220221;0800;9;;;
220221;0900;8;;;
220221;1000;10;;;
220221;1100;12;;;
220221;1200;11;;;
220221;1300;12;;;
220221;1400;8;;;
220221;1500;5;;;
220221;1600;5;;;
220221;1700;6;;;
